
Host: macRoot.attlocal.net

Timers On : Tue Jul 14 07:22:09 2020
Timers Off: Tue Jul 14 07:25:05 2020

Wall Time:      175.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.008w    132 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    132 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w    132 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.003w    132 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    132 calls
HF: Form F                          :      0.017u      0.000s      0.002w    132 calls
HF: Form D                          :      0.000u      0.000s      0.001w    132 calls
HF: DIIS                            :      0.167u      0.050s      0.106w    113 calls
| DIISManager::add_entry            :      0.017u      0.033s      0.019w    113 calls
| DIISManager::extrapolate          :      0.033u      0.017s      0.014w    113 calls
| | bMatrix setup                   :      0.000u      0.000s      0.005w    113 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.004w    113 calls
| | New vector                      :      0.017u      0.000s      0.003w    113 calls
HF: Form C                          :      0.000u      0.000s      0.005w    113 calls
CIWave: CIvect write                :      0.000u      0.000s      0.004w    252 calls
CIWave: CIvect read                 :      0.000u      0.017s      0.006w    702 calls
CIWave: s2                          :      0.000u      0.000s      0.001w    144 calls
CIWave: s3                          :      0.000u      0.000s      0.002w    504 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Tue Jul 14 12:19:37 2020
Timers Off: Tue Jul 14 22:40:10 2020

Wall Time:    37233.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     12.983u      0.050s      7.839w    448 calls
DFH: initialize()                   :     34.417u      1.483s     21.817w    448 calls
DFH: AO Construction                :      0.517u      0.000s      0.356w    448 calls
DFH: AO-Met. Contraction            :      0.083u      0.000s      0.029w    448 calls
HF: Form core H                     :      0.317u      1.383s      1.034w    448 calls
HF: Form S/X                        :      0.117u      0.000s      0.078w    448 calls
HF: Guess                           :     93.583u      2.483s     58.480w    448 calls
SAD Guess                           :     91.567u      2.433s     57.236w    448 calls
HF: Form G                          :      6.283u      1.833s      5.047w  31428 calls
JK: D                               :      0.233u      0.100s      0.273w  31428 calls
JK: USO2AO                          :      0.900u      0.083s      0.654w  31428 calls
JK: JK                              :      3.000u      0.867s      2.376w  31428 calls
DFH: compute_JK()                   :      2.667u      0.683s      2.047w  31428 calls
DFH: Grabbing AOs                   :      0.167u      0.050s      0.121w  31428 calls
DFH: compute_J                      :      0.717u      0.100s      0.510w  31428 calls
DFH: compute_K                      :      0.967u      0.133s      0.641w  31428 calls
JK: AO2USO                          :      0.500u      0.133s      0.370w  31428 calls
HF: Form F                          :      0.867u      0.133s      0.528w  31428 calls
HF: Form D                          :      0.500u      0.167s      0.351w  31428 calls
HF: DIIS                            :     40.550u      6.300s     29.228w  30980 calls
DIISManager::add_entry              :      0.983u      1.250s      1.558w  30980 calls
DIISManager::extrapolate            :      8.967u      4.550s      7.973w  30980 calls
bMatrix setup                       :      3.483u      2.433s      3.643w  30980 calls
bMatrix pseudoinverse               :      2.550u      0.117s      1.709w  30980 calls
New vector                          :      2.100u      1.250s      1.957w  30980 calls
HF: Form C                          :      2.317u      0.117s      1.477w  30980 calls
CIWave: CIvect write                :      0.000u      0.000s      0.009w    518 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.014w   1443 calls
CIWave: s2                          :      0.000u      0.000s      0.002w    296 calls
CIWave: s3                          :      0.000u      0.000s      0.005w   1036 calls
ccenergy                            :      5.750u     19.867s     16.049w     35 calls
F build                             :      0.300u      0.350s      0.309w    359 calls
Wmbej build                         :      0.317u      0.267s      0.354w    359 calls
C->Wmbej                            :      0.050u      0.000s      0.043w    359 calls
F->Wmbej                            :      0.133u      0.117s      0.119w    359 calls
E->Wmbej                            :      0.050u      0.100s      0.087w    359 calls
X->Wmbej                            :      0.083u      0.033s      0.080w    359 calls
Z                                   :      0.000u      0.000s      0.018w    359 calls
T2 Build                            :      0.700u      0.433s      0.646w    359 calls
BT2                                 :      0.133u      0.100s      0.120w    359 calls
ABCD:new                            :      0.133u      0.100s      0.117w    359 calls
ABCD:S                              :      0.017u      0.000s      0.020w    359 calls
ABCD:A                              :      0.000u      0.000s      0.018w    359 calls
ABCD:axpy                           :      0.050u      0.050s      0.028w    359 calls
FT2                                 :      0.017u      0.050s      0.033w    359 calls
WmbejT2                             :      0.183u      0.100s      0.173w    359 calls
CT2                                 :      0.167u      0.083s      0.199w    359 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     12.983u      0.050s      7.839w    448 calls
DFH: initialize()                   :     34.417u      1.483s     21.817w    448 calls
| DFH: AO Construction              :      0.517u      0.000s      0.356w    448 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.029w    448 calls
HF: Form core H                     :      0.317u      1.383s      1.034w    448 calls
HF: Form S/X                        :      0.117u      0.000s      0.078w    448 calls
HF: Guess                           :     93.583u      2.483s     58.480w    448 calls
| SAD Guess                         :     91.567u      2.433s     57.236w    448 calls
HF: Form G                          :      6.283u      1.833s      5.047w  31428 calls
| JK: D                             :      0.233u      0.100s      0.273w  31428 calls
| JK: USO2AO                        :      0.900u      0.083s      0.654w  31428 calls
| JK: JK                            :      3.000u      0.867s      2.376w  31428 calls
| | DFH: compute_JK()               :      2.667u      0.683s      2.047w  31428 calls
| | | DFH: Grabbing AOs             :      0.167u      0.050s      0.121w  31428 calls
| | | DFH: compute_J                :      0.717u      0.100s      0.510w  31428 calls
| | | DFH: compute_K                :      0.967u      0.133s      0.641w  31428 calls
| JK: AO2USO                        :      0.500u      0.133s      0.370w  31428 calls
HF: Form F                          :      0.867u      0.133s      0.528w  31428 calls
HF: Form D                          :      0.500u      0.167s      0.351w  31428 calls
HF: DIIS                            :     40.550u      6.300s     29.228w  30980 calls
| DIISManager::add_entry            :      0.983u      1.250s      1.558w  30980 calls
| DIISManager::extrapolate          :      8.967u      4.550s      7.973w  30980 calls
| | bMatrix setup                   :      3.483u      2.433s      3.643w  30980 calls
| | bMatrix pseudoinverse           :      2.550u      0.117s      1.709w  30980 calls
| | New vector                      :      2.100u      1.250s      1.957w  30980 calls
HF: Form C                          :      2.317u      0.117s      1.477w  30980 calls
CIWave: CIvect write                :      0.000u      0.000s      0.009w    518 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.014w   1443 calls
CIWave: s2                          :      0.000u      0.000s      0.002w    296 calls
CIWave: s3                          :      0.000u      0.000s      0.005w   1036 calls
ccenergy                            :      5.750u     19.867s     16.049w     35 calls
| F build                           :      0.300u      0.350s      0.309w    359 calls
| Wmbej build                       :      0.317u      0.267s      0.354w    359 calls
| | C->Wmbej                        :      0.050u      0.000s      0.043w    359 calls
| | F->Wmbej                        :      0.133u      0.117s      0.119w    359 calls
| | E->Wmbej                        :      0.050u      0.100s      0.087w    359 calls
| | X->Wmbej                        :      0.083u      0.033s      0.080w    359 calls
| Z                                 :      0.000u      0.000s      0.018w    359 calls
| T2 Build                          :      0.700u      0.433s      0.646w    359 calls
| | BT2                             :      0.133u      0.100s      0.120w    359 calls
| | | ABCD:new                      :      0.133u      0.100s      0.117w    359 calls
| | | | ABCD:S                      :      0.017u      0.000s      0.020w    359 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.018w    359 calls
| | | | ABCD:axpy                   :      0.050u      0.050s      0.028w    359 calls
| | FT2                             :      0.017u      0.050s      0.033w    359 calls
| | WmbejT2                         :      0.183u      0.100s      0.173w    359 calls
| | CT2                             :      0.167u      0.083s      0.199w    359 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Tue Jul 14 21:23:54 2020
Timers Off: Tue Jul 14 22:40:10 2020

Wall Time:     4575.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.062w      4 calls
DFH: initialize()                   :      0.300u      0.017s      0.199w      4 calls
DFH: AO Construction                :      0.000u      0.000s      0.006w      4 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.033s      0.009w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.617u      0.017s      0.397w      4 calls
SAD Guess                           :      0.600u      0.017s      0.387w      4 calls
HF: Form G                          :      0.000u      0.000s      0.007w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     24 calls
JK: JK                              :      0.000u      0.000s      0.004w     24 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     24 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.017u      0.017s      0.025w     20 calls
DIISManager::add_entry              :      0.000u      0.017s      0.004w     20 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.004w     20 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     20 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     20 calls
New vector                          :      0.000u      0.000s      0.001w     20 calls
HF: Form C                          :      0.017u      0.000s      0.002w     20 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     28 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w     78 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     16 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.062w      4 calls
DFH: initialize()                   :      0.300u      0.017s      0.199w      4 calls
| DFH: AO Construction              :      0.000u      0.000s      0.006w      4 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      4 calls
HF: Form core H                     :      0.000u      0.033s      0.009w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      4 calls
HF: Guess                           :      0.617u      0.017s      0.397w      4 calls
| SAD Guess                         :      0.600u      0.017s      0.387w      4 calls
HF: Form G                          :      0.000u      0.000s      0.007w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     24 calls
| JK: JK                            :      0.000u      0.000s      0.004w     24 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     24 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.001w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.017u      0.017s      0.025w     20 calls
| DIISManager::add_entry            :      0.000u      0.017s      0.004w     20 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.004w     20 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     20 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     20 calls
| | New vector                      :      0.000u      0.000s      0.001w     20 calls
HF: Form C                          :      0.017u      0.000s      0.002w     20 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     28 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.001w     78 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Tue Jul 14 12:00:23 2020
Timers Off: Tue Jul 14 22:40:10 2020

Wall Time:    38387.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 05:46:46 2020
Timers Off: Wed Jul 15 08:03:49 2020

Wall Time:     8222.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.717u      0.033s      1.174w     60 calls
DFH: initialize()                   :      4.750u      0.250s      3.391w     60 calls
DFH: AO Construction                :      0.033u      0.000s      0.055w     60 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w     60 calls
HF: Form core H                     :      0.050u      0.250s      0.167w     60 calls
HF: Form S/X                        :      0.000u      0.000s      0.013w     60 calls
HF: Guess                           :     12.900u      0.550s      8.839w     60 calls
SAD Guess                           :     12.517u      0.550s      8.640w     60 calls
HF: Form G                          :      0.083u      0.033s      0.103w    496 calls
JK: D                               :      0.000u      0.000s      0.007w    496 calls
JK: USO2AO                          :      0.017u      0.000s      0.015w    496 calls
JK: JK                              :      0.033u      0.000s      0.047w    496 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.042w    496 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w    496 calls
DFH: compute_J                      :      0.000u      0.000s      0.013w    496 calls
DFH: compute_K                      :      0.017u      0.000s      0.014w    496 calls
JK: AO2USO                          :      0.000u      0.000s      0.007w    496 calls
HF: Form F                          :      0.017u      0.000s      0.010w    496 calls
HF: Form D                          :      0.000u      0.000s      0.007w    496 calls
HF: DIIS                            :      0.833u      0.200s      0.522w    436 calls
DIISManager::add_entry              :      0.050u      0.133s      0.091w    436 calls
DIISManager::extrapolate            :      0.183u      0.050s      0.087w    436 calls
bMatrix setup                       :      0.100u      0.017s      0.027w    436 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.032w    436 calls
New vector                          :      0.017u      0.033s      0.018w    436 calls
HF: Form C                          :      0.033u      0.000s      0.027w    436 calls
CIWave: CIvect write                :      0.000u      0.000s      0.005w    210 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.006w    585 calls
CIWave: s2                          :      0.017u      0.000s      0.001w    120 calls
CIWave: s3                          :      0.000u      0.000s      0.002w    420 calls
ccenergy                            :      3.200u     11.383s      9.644w     15 calls
F build                             :      0.150u      0.150s      0.185w    161 calls
Wmbej build                         :      0.200u      0.083s      0.201w    161 calls
C->Wmbej                            :      0.050u      0.000s      0.019w    161 calls
F->Wmbej                            :      0.017u      0.050s      0.062w    161 calls
E->Wmbej                            :      0.067u      0.017s      0.052w    161 calls
X->Wmbej                            :      0.050u      0.017s      0.053w    161 calls
Z                                   :      0.033u      0.000s      0.011w    161 calls
T2 Build                            :      0.467u      0.217s      0.394w    161 calls
BT2                                 :      0.050u      0.033s      0.068w    161 calls
ABCD:new                            :      0.050u      0.033s      0.067w    161 calls
ABCD:S                              :      0.000u      0.000s      0.011w    161 calls
ABCD:A                              :      0.000u      0.017s      0.010w    161 calls
ABCD:axpy                           :      0.050u      0.000s      0.019w    161 calls
FT2                                 :      0.017u      0.000s      0.021w    161 calls
WmbejT2                             :      0.133u      0.117s      0.106w    161 calls
CT2                                 :      0.100u      0.017s      0.120w    161 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      1.717u      0.033s      1.174w     60 calls
DFH: initialize()                   :      4.750u      0.250s      3.391w     60 calls
| DFH: AO Construction              :      0.033u      0.000s      0.055w     60 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w     60 calls
HF: Form core H                     :      0.050u      0.250s      0.167w     60 calls
HF: Form S/X                        :      0.000u      0.000s      0.013w     60 calls
HF: Guess                           :     12.900u      0.550s      8.839w     60 calls
| SAD Guess                         :     12.517u      0.550s      8.640w     60 calls
HF: Form G                          :      0.083u      0.033s      0.103w    496 calls
| JK: D                             :      0.000u      0.000s      0.007w    496 calls
| JK: USO2AO                        :      0.017u      0.000s      0.015w    496 calls
| JK: JK                            :      0.033u      0.000s      0.047w    496 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.042w    496 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w    496 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.013w    496 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.014w    496 calls
| JK: AO2USO                        :      0.000u      0.000s      0.007w    496 calls
HF: Form F                          :      0.017u      0.000s      0.010w    496 calls
HF: Form D                          :      0.000u      0.000s      0.007w    496 calls
HF: DIIS                            :      0.833u      0.200s      0.522w    436 calls
| DIISManager::add_entry            :      0.050u      0.133s      0.091w    436 calls
| DIISManager::extrapolate          :      0.183u      0.050s      0.087w    436 calls
| | bMatrix setup                   :      0.100u      0.017s      0.027w    436 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.032w    436 calls
| | New vector                      :      0.017u      0.033s      0.018w    436 calls
HF: Form C                          :      0.033u      0.000s      0.027w    436 calls
CIWave: CIvect write                :      0.000u      0.000s      0.005w    210 calls
CIWave: CIvect read                 :      0.017u      0.000s      0.006w    585 calls
CIWave: s2                          :      0.017u      0.000s      0.001w    120 calls
CIWave: s3                          :      0.000u      0.000s      0.002w    420 calls
ccenergy                            :      3.200u     11.383s      9.644w     15 calls
| F build                           :      0.150u      0.150s      0.185w    161 calls
| Wmbej build                       :      0.200u      0.083s      0.201w    161 calls
| | C->Wmbej                        :      0.050u      0.000s      0.019w    161 calls
| | F->Wmbej                        :      0.017u      0.050s      0.062w    161 calls
| | E->Wmbej                        :      0.067u      0.017s      0.052w    161 calls
| | X->Wmbej                        :      0.050u      0.017s      0.053w    161 calls
| Z                                 :      0.033u      0.000s      0.011w    161 calls
| T2 Build                          :      0.467u      0.217s      0.394w    161 calls
| | BT2                             :      0.050u      0.033s      0.068w    161 calls
| | | ABCD:new                      :      0.050u      0.033s      0.067w    161 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.011w    161 calls
| | | | ABCD:A                      :      0.000u      0.017s      0.010w    161 calls
| | | | ABCD:axpy                   :      0.050u      0.000s      0.019w    161 calls
| | FT2                             :      0.017u      0.000s      0.021w    161 calls
| | WmbejT2                         :      0.133u      0.117s      0.106w    161 calls
| | CT2                             :      0.100u      0.017s      0.120w    161 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 19:00:14 2020
Timers Off: Wed Jul 15 20:03:00 2020

Wall Time:     3766.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.900u      0.083s      2.504w    137 calls
DFH: initialize()                   :     10.350u      0.583s      6.815w    137 calls
DFH: AO Construction                :      0.233u      0.017s      0.106w    137 calls
DFH: AO-Met. Contraction            :      0.033u      0.000s      0.009w    137 calls
HF: Form core H                     :      0.050u      0.500s      0.327w    137 calls
HF: Form S/X                        :      0.017u      0.000s      0.025w    137 calls
HF: Guess                           :     28.283u      0.867s     18.052w    137 calls
SAD Guess                           :     27.467u      0.867s     17.662w    137 calls
HF: Form G                          :      0.183u      0.067s      0.196w   1111 calls
JK: D                               :      0.000u      0.017s      0.012w   1111 calls
JK: USO2AO                          :      0.033u      0.000s      0.030w   1111 calls
JK: JK                              :      0.050u      0.000s      0.088w   1111 calls
DFH: compute_JK()                   :      0.050u      0.000s      0.077w   1111 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.004w   1111 calls
DFH: compute_J                      :      0.033u      0.000s      0.020w   1111 calls
DFH: compute_K                      :      0.017u      0.000s      0.026w   1111 calls
JK: AO2USO                          :      0.017u      0.000s      0.013w   1111 calls
HF: Form F                          :      0.000u      0.000s      0.020w   1111 calls
HF: Form D                          :      0.000u      0.000s      0.013w   1111 calls
HF: DIIS                            :      1.233u      0.267s      1.004w    974 calls
DIISManager::add_entry              :      0.067u      0.100s      0.169w    974 calls
DIISManager::extrapolate            :      0.117u      0.100s      0.157w    974 calls
bMatrix setup                       :      0.050u      0.033s      0.054w    974 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.046w    974 calls
New vector                          :      0.033u      0.050s      0.037w    974 calls
HF: Form C                          :      0.083u      0.000s      0.052w    974 calls
CIWave: CIvect write                :      0.033u      0.000s      0.010w    490 calls
CIWave: CIvect read                 :      0.017u      0.017s      0.014w   1365 calls
CIWave: s2                          :      0.000u      0.000s      0.002w    280 calls
CIWave: s3                          :      0.033u      0.000s      0.005w    980 calls
ccenergy                            :      5.150u     17.300s     13.994w     30 calls
F build                             :      0.217u      0.267s      0.277w    322 calls
Wmbej build                         :      0.217u      0.150s      0.304w    322 calls
C->Wmbej                            :      0.017u      0.033s      0.031w    322 calls
F->Wmbej                            :      0.050u      0.050s      0.101w    322 calls
E->Wmbej                            :      0.067u      0.000s      0.078w    322 calls
X->Wmbej                            :      0.067u      0.033s      0.071w    322 calls
Z                                   :      0.000u      0.017s      0.017w    322 calls
T2 Build                            :      0.550u      0.400s      0.589w    322 calls
BT2                                 :      0.133u      0.067s      0.107w    322 calls
ABCD:new                            :      0.133u      0.067s      0.104w    322 calls
ABCD:S                              :      0.033u      0.033s      0.018w    322 calls
ABCD:A                              :      0.017u      0.000s      0.017w    322 calls
ABCD:axpy                           :      0.067u      0.000s      0.026w    322 calls
FT2                                 :      0.017u      0.033s      0.031w    322 calls
WmbejT2                             :      0.150u      0.083s      0.159w    322 calls
CT2                                 :      0.100u      0.150s      0.179w    322 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.900u      0.083s      2.504w    137 calls
DFH: initialize()                   :     10.350u      0.583s      6.815w    137 calls
| DFH: AO Construction              :      0.233u      0.017s      0.106w    137 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.009w    137 calls
HF: Form core H                     :      0.050u      0.500s      0.327w    137 calls
HF: Form S/X                        :      0.017u      0.000s      0.025w    137 calls
HF: Guess                           :     28.283u      0.867s     18.052w    137 calls
| SAD Guess                         :     27.467u      0.867s     17.662w    137 calls
HF: Form G                          :      0.183u      0.067s      0.196w   1111 calls
| JK: D                             :      0.000u      0.017s      0.012w   1111 calls
| JK: USO2AO                        :      0.033u      0.000s      0.030w   1111 calls
| JK: JK                            :      0.050u      0.000s      0.088w   1111 calls
| | DFH: compute_JK()               :      0.050u      0.000s      0.077w   1111 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.004w   1111 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.020w   1111 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.026w   1111 calls
| JK: AO2USO                        :      0.017u      0.000s      0.013w   1111 calls
HF: Form F                          :      0.000u      0.000s      0.020w   1111 calls
HF: Form D                          :      0.000u      0.000s      0.013w   1111 calls
HF: DIIS                            :      1.233u      0.267s      1.004w    974 calls
| DIISManager::add_entry            :      0.067u      0.100s      0.169w    974 calls
| DIISManager::extrapolate          :      0.117u      0.100s      0.157w    974 calls
| | bMatrix setup                   :      0.050u      0.033s      0.054w    974 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.046w    974 calls
| | New vector                      :      0.033u      0.050s      0.037w    974 calls
HF: Form C                          :      0.083u      0.000s      0.052w    974 calls
CIWave: CIvect write                :      0.033u      0.000s      0.010w    490 calls
CIWave: CIvect read                 :      0.017u      0.017s      0.014w   1365 calls
CIWave: s2                          :      0.000u      0.000s      0.002w    280 calls
CIWave: s3                          :      0.033u      0.000s      0.005w    980 calls
ccenergy                            :      5.150u     17.300s     13.994w     30 calls
| F build                           :      0.217u      0.267s      0.277w    322 calls
| Wmbej build                       :      0.217u      0.150s      0.304w    322 calls
| | C->Wmbej                        :      0.017u      0.033s      0.031w    322 calls
| | F->Wmbej                        :      0.050u      0.050s      0.101w    322 calls
| | E->Wmbej                        :      0.067u      0.000s      0.078w    322 calls
| | X->Wmbej                        :      0.067u      0.033s      0.071w    322 calls
| Z                                 :      0.000u      0.017s      0.017w    322 calls
| T2 Build                          :      0.550u      0.400s      0.589w    322 calls
| | BT2                             :      0.133u      0.067s      0.107w    322 calls
| | | ABCD:new                      :      0.133u      0.067s      0.104w    322 calls
| | | | ABCD:S                      :      0.033u      0.033s      0.018w    322 calls
| | | | ABCD:A                      :      0.017u      0.000s      0.017w    322 calls
| | | | ABCD:axpy                   :      0.067u      0.000s      0.026w    322 calls
| | FT2                             :      0.017u      0.033s      0.031w    322 calls
| | WmbejT2                         :      0.150u      0.083s      0.159w    322 calls
| | CT2                             :      0.100u      0.150s      0.179w    322 calls

**************************************************************************************

Host: macRoot.attlocal.net

Timers On : Wed Jul 15 20:03:20 2020
Timers Off: Wed Jul 15 20:04:11 2020

Wall Time:       51.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.018w      1 calls
DFH: initialize()                   :      0.083u      0.000s      0.053w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.200u      0.000s      0.132w      1 calls
SAD Guess                           :      0.200u      0.000s      0.129w      1 calls
HF: Form G                          :      0.017u      0.000s      0.001w      7 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.017u      0.000s      0.001w      7 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.001w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      7 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.005w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.000w      6 calls
CIWave: CIvect write                :      0.000u      0.000s      0.000w     14 calls
CIWave: CIvect read                 :      0.000u      0.000s      0.000w     39 calls
CIWave: s2                          :      0.000u      0.000s      0.000w      8 calls
CIWave: s3                          :      0.000u      0.000s      0.000w     28 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.000s      0.018w      1 calls
DFH: initialize()                   :      0.083u      0.000s      0.053w      1 calls
| DFH: AO Construction              :      0.000u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.200u      0.000s      0.132w      1 calls
| SAD Guess                         :      0.200u      0.000s      0.129w      1 calls
HF: Form G                          :      0.017u      0.000s      0.001w      7 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.017u      0.000s      0.001w      7 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.001w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
